NAMES,MEANING,GENDER
baan,God's Hymns; God's Bajan's,Boy
baanbhatt,Name of an Ancient Poet; Smart and Knowledgeable; Bright and Radiant,Boy
baanke,One of many names of Lord Krishna refering to his Bright and Radiant nature,Boy
baaodhav,Humanitarian; One who has great respect for human values,Boy
baapiraaju,Status Oriented; Well off and powerful,Boy
baasu,Rich; Wealthy; Well-off; Prosperous,Boy
baba,Sweet Baby; Born on Thursday; Young Lad,Boy
babaghal,Parrot,Boy
babala,Above; Elder; Older; One who is bigger,Boy
baban,Winner; Victorious; Successful,Boy
babat,Lucky; Fortunate; Blessed; Privileged;,Boy
babbagha,Parrot; A variant of name Babghal,Boy
babhru,Man with Fierce and Brown hair; One of many names of Lord Krishna; Son of Dhurva,Boy
babiji,Good Person; Kind and Caring,Boy
babila,Little Girl; Young Girl; Sweet Girl,Boy
babiya,Little Girl; Young Girl; Sweet Girl,Boy
babo,Cute; Pleasing,Boy
babu,A Hindu Gentleman; A title used for calling with respect,Boy
babulal,Beautiful; Good Looking; Pleasing; Charming Gentleman,Boy
bachanbir,Brave Promise; Promise of a Warrior; A derivative from name Bachan which means Promise,Boy
bachanmeet,Promise of Friendship; A derivative from name Bachan which means Promise,Boy
bachanpreet,Promise of Love; Promise of Affection; A derivative from name Bachan which means Promise,Boy
bachanroop,Promise of Embodiment; Promise of fullfilment; A derivative from name Bachan which means Promise,Boy
bachansukh,Promise of Happiness; Promise of Joy; A derivative from name Bachan which means Promise,Boy
bachcha,Child; Baby; Infant; Little one; Offspring,Boy
bachil,One who Speaks Much; Talkative Person;,Boy
bachittar,Wounderous Merits; One who has amazing virtues;,Boy
badal,Cloud; Rain,Boy
badani,Handsome; Beautiful; Attractive; Very Appealing,Boy
badara,Sanskrit - Jujube Tree,Boy
badarayan,Rishi Ved Vyas; Belonging to the Jujube Tree; A derivative name from Badara,Boy
badarayana,Belonging to the Jujube Tree; A derivative name from Badara,Boy
badari,"Berry fruit of Jujube Tree, Name of Nara and Naaraayana",Boy
badariprasad,Gift of Badrinarayan;,Boy
badarish,Deity at the pilgrimage; One of many names of Lord Shiva,Boy
badaruj,Sweet Basil,Boy
badhira,Deaf,Boy
badhri,One of the many names of Lord Vishnu; Badrinath is a derivative name from Badhri,Boy
badikh,Important; Prominent; Significant; Famous,Boy
badram,Innocent; Blameless; Childlike who is not guilty,Boy
badrinarayan,One of the many names of Lord Vishnu; A derivative name from Badhri,Boy
badrinarayana,One of the many names of Lord Vishnu; A derivative name from Badhri,Boy
badrinath,"Lord Of Mount Badri, One of the many names of Lord Vishnu; A derivative name from Badhri",Boy
badrish,One of the many names of Lord Shiva,Boy
baduli,Logician; Theorist; Dreamer; Thinker; Philosopher,Boy
bagath,Devotee; To Serve; To Adore;,Boy
bagavathi,"Name of Hindu Goddess; Common Name of Lakshmi,Saraswathi,Durga Devi",Boy
bageshri,Name of an Indian Musical Raaga,Girl
bagga,Pure and White; It is a surname belonging to community in Northern Punjab,Boy
baghinder,Tiger; King,Boy
bagira,Loving; Nurturing; Kind and Compassionate,Boy
bagubhalan,A Lion; Very Strong; Powerful; Mighty,Boy
baha,Beautiful; Magnificent; Brilliance; Smart; Intelligent,Boy
bahadar,One who is brave and courageous; Fearless,Boy
bahador,Honorable; Brave; Courageous; Fearless,Boy
bahadurjeet,Victory of the Brave and Courageous,Boy
bahadurjit,Victory of the Brave and Courageous,Boy
bahadurjot,Light of the Brave; Flame or Spirit of the Courageous,Boy
bahaj,Jubilation; Happiness; Joy; Rejoicing; Celebration,Boy
baharupa,One who is restless,Boy
bahiy,One who has unshakeable faith,Boy
bahri,Little; Part; A division; A portion,Boy
bahubala,With Great Strength; Power; Might,Boy
bahubali,a Jain tirthankar,Boy
bahudama,Suppressor of Many; Strong; Powerful; Mighty; Brave and Courageous; one who is victorious,Boy
bahudhar,Honorable; Brave; Courageous; Fearless,Boy
bahugava,Owning Many Cattle,Boy
bahuka,One who has wisdom near the heart,Boy
bahuketu,Many Peaked; A Mountain,Boy
bahuksana,A clever minded and lucky person,Boy
bahul,A Star; Abundant,Boy
bahula,"A Star; Name of a star; Cow, Kritika nakshatra",Girl
bahuley,One of the many names of Lord Kartikeya; A Hindu God of Bravery,Boy
bahuleya,One of the many names of Lord Kartikeya; A Hindu God of Bravery,Boy
bahuli,Manifold; Multiplied; Increase; Grow,Boy
bahuliya,One of the many names of Lord Kartikeya; A Hindu God of Bravery,Boy
bahulya,Manifoldness; Variety; Multiplied; Increased; Grow,Boy
bahuman,Prize; Gift; Reward; Accolade; Endowment,Boy
bahumanya,Honoured by Many; Well respected; Esteemed;,Boy
bahumulya,Priceless; Valuable; Precious; One who is dearmost,Boy
bahupatu,Very Clever; Smart; Intelligent; Brilliant,Boy
bahurai,"With Great Riches, Possessions, Assets, Treasures",Boy
bahurja,Full of Energy; Strong; Powerful,Boy
bahurupa,One who is reserved and full of youth; many powers,Girl
bahushruta,Extremely Learned; Much Heard; Knowledgeable; Brilliant,Boy
bahuskti,Full of Energy; Strong; Powerful,Boy
bahusruta,Extremely Learned; Much Heard; Knowledgeable; Brilliant,Boy
bahuvata,Strong Armed; One who is well equiped,Boy
bahuvida,Scholarly; Wise; Enlightened; Knowledgeable; Noble,Boy
baibhav,Prosperity; Richness; Wealthy,Boy
baidyanath,Another name of Lord Shiva,Boy
baijanti,One who wins; a mythical flower,Girl
baijayanti,A beautiful garland for Lord Vishnu,Girl
baiju,Brother,Boy
bailasan,An individual; versatile and creative,Boy
bailea,one who has brown eyes and brown hair,Boy
baindur,One who is a responsible person,Boy
baira,Brave; Courageous; Fearless,Boy
bairagi,Independent one; free,Girl
bairam,An independent and expressive person,Boy
bairavan,One of many names of Lord Shiva; God who Protects,Boy
bairavi,Melodious; they are another name of Goddess Durga,Girl
baishali,Name of an ancient city; lovely,Girl
baivavi,A wealthy and happy individual,Girl
baiwab,One of many names of Lord Shiva; God who Protects,Boy
bajarang,One of many names of Lord Hanumaan signifying his strength,Boy
bajrang,One of many names of Lord Hanumaan signifying his strength,Boy
bajrangbali,Name of Lord Hanuman; lot of strength,Boy
baka,Crane; Variant transcriptions are Bacca; Backa; Bakah and Bakka,Unisex
bakajita,Conqueror of Baka; Another Name for Bhima; One who has won over Baka,Boy
bakaripu,Enemy of Baka,Boy
bakavata,With a quality of Heros; Very Attentive; Watchful; One who is vigilant or closely observant,Boy
bakhat,Lucky; Fortunate; Blessed; Privileged; A variant of Bakht,Boy
bakhsheesh,The Blessed One; Divine Blessing; God's Gift; A Donation from God; Given by God; A variant spelling is Bakhshish,Girl
bakhshind,Forgiving; Pardoning; Merciful,Boy
bakool,A pleasant and eas going person; a flower,Boy
bakraj,A strong and mighty king,Boy
bakshi,Blessed; A surname used mostly for Brahmin's in Nothern India,Boy
bakul,Flower; Bloom; Blossom,Boy
bakulesa,Lord of Blossom; God of Flowers;,Boy
bakura,Thunderbolt; Horn; Glorifies; Coming Early,Boy
bal,A baby with lots of hair,Boy
bala,A Young Female; Little Girl; Infant; Small Child,Unisex
balaaditya,The Sun which has just risen,Boy
balaark,The Rising Sun; Red Radiant Sun of Dawn,Boy
balab,Very Sweet,Boy
balabhadra,Powerful; Brave; Strong; Mighty,Boy
balabhrt,Carrying a Lot of Strength; Mighty; Strong; Powerful,Boy
balachand,Lotus; Blooming Lotus;,Boy
balachandar,Young Moon; Rising Moon; Crescent Moon,Boy
balachander,Young Moon; Rising Moon; Crescent Moon,Boy
balachandra,Young Moon; Rising Moon; Crescent Moon,Boy
balachandrav,Young Moon; Rising Moon; Crescent Moon,Boy
baladev,Older brother of Lord Shri Krishna; A name of Lord Balaram who is splendid and powerful,Boy
baladeva,Older brother of Lord Shri Krishna; A name of Lord Balaram who is splendid and powerful,Boy
baladeya,"Giver of Strength, Power, Might and Courage",Boy
baladhi,Sanskrit - Intellect; Deep Insight; One who is intelligent,Boy
baladhika,Unequalled in Strength; one who has no match for his might and power,Boy
baladhitya,Risen Sun; Red Dawn Sun; Radiant and Bright rays of the rising sun,Boy
baladhya,Full of Strength; Power; Might; Courage,Boy
baladitya,Risen Sun; Red Dawn Sun; Radiant and Bright rays of the rising sun,Boy
balaganapati,A very beloved and lovable child,Boy
balagopal,Name of Lord Krishna,Boy
balagopala,Young Cow-herd; One of many names of Lord Shri Krishna,Boy
balagopalan,Young Cow-herd; One of many names of Lord Shri Krishna,Boy
balagovind,Young Cow-herd; One of many names of Lord Shri Krishna,Boy
balagovinda,Young Cow-herd; One of many names of Lord Shri Krishna,Boy
balagra,Best Among the Powerful; Most Courageous; The Mightiest,Boy
balaguru,One of the many names of Lord Murugan; Hindu God of Bravery,Boy
balahaka,Cloud; Thundercloud,Boy
balai,Name of krishna's elder brother,Boy
balaiah,A nick name of Lord Shri Krishna in his young age,Boy
balaichand,Young Lotus; Blooming Lotus Bud,Boy
balajee,One of the many names of Lord Vishnu; Another name of Lord Venkateswara,Boy
balaka,"Means a sort of cranes. It symbolizes honor, faith and self confidence.",girl
balakara,Youthful; Young Lad; Pambili Karan Warrior,Boy
balakk,Small Baby; Infant; Child; Young Little one,Boy
balaknath,Child Master; Small Baby; Infant; Child; Young Little one,Boy
balakrishan,One of many names of Lord Krishna for his infant form,Boy
balakrishna,One of many names of Lord Krishna for his infant form,Boy
balakrishnan,One of many names of Lord Krishna for his infant form,Boy
balakrit,Obtained by Power; Strength; Might,Boy
balaksa,Strong Eyed,Boy
balaksha,Innocent; Blameless; Faultless; Guilt Free,Boy
balakumar,Youthful; Young Lad;,Boy
balakumara,Youthful; Young Lad;,Boy
balamada,Proud of One; Self-Righteous; Superior,Boy
balamadi,Young Intellect; Young Intelligent Child; Young Thinker,Boy
balamani,young jewel; young Precious Pearl,Boy
balambu,Son of Sambhu or Lord Shiva,Boy
balamohan,One who is attractive; Pleasing and Appealing,Boy
balamohana,One who is attractive; Pleasing and Appealing,Boy
balamurali,One of many names of Lord Krishna signifying his image as flute player,Boy
balamurugan,One of many names of Lord Muruga as his young form,Boy
balan,Small Child; Little One; Young one,Girl
balanath,Lord of Strength; One of many names of Lord Muruga,Boy
balanatha,Lord of Strength; One of many names of Lord Muruga,Boy
baland,Supreme; Mighty; Powerest of all,Boy
balanika,With a Powerful Army; Most mightiest warrior group,Boy
balanuj,One of many names of Lord Krishna referring him as younger brother of Balaram,Boy
balanuja,One of many names of Lord Krishna referring him as younger brother of Balaram,Boy
balapati,Commander of an Army; Leader; Chief Warrior in an army,Boy
balar,Strength; Power; Might; Courageous,Boy
balaraam,The Elder Brother of Lord Krishna,Boy
balaraj,"Strong, Powerful and Mighty Lad; The Elder Brother of Lord Krishna",Boy
balaraja,"Strong, Powerful and Mighty Lad; The Elder Brother of Lord Krishna",Boy
balaram,The Elder Brother of Lord Krishna,Boy
balarama,The Elder Brother of Lord Krishna; Refers to Lord Balaram,Boy
balaraman,The Elder Brother of Lord Krishna; Refers to Lord Balaram,Boy
balaravi,The Morning Sun; Radiant Sun in the Dawn; Red Rising Sun,Boy
balarika,The Morning Sun; Radiant Sun in the Dawn; Red Rising Sun,Boy
balark,The Morning Sun; Radiant Sun in the Dawn; Red Rising Sun,Boy
balarka,The Morning Sun; Radiant Sun in the Dawn; Red Rising Sun,Boy
balarun,Dawn; Early morning; Rising Sun,Boy
balaruna,Dawn; Early morning; Rising Sun,Boy
balarupa,Child Like Appearance; Refers to form of Lord Balarama when he was a Child;,Boy
balasena,A Strong Leader; Young Leader,Boy
balashankar,"Means a young Lord Shiva. It symbolizes a hardworking, energetic and insightful leader",Boy
balasingam,Young Lion; one who has strength of a young lion,Boy
balasingham,Young Lion; one who has strength of a young lion,Boy
balastha,Abode of Strength; Power; Might,Boy
balasundaram,Handsome Boy; Attractive and Appealing Lad,Boy
balasunder,Means lord Krishna. It symbolizes a handsome child.,Boy
balatharun,God Name,Boy
balavala,Very Powerful; Mighty; Strong,Boy
balavan,Very Powerful; Mighty; Strong,Boy
balavana,Very Powerful; Mighty; Strong,Boy
balavant,Means Lord Hanuman. It symbolizes might and bravery,Boy
balavata,Very Powerful; Mighty; Strong; Intense,Boy
balavenkatan,One of the many names of Lord Vishnu; Another name of Lord Venkateswara,Boy
balavira,Brave and Powerful; Courageous and Strong,Boy
balavrata,Worshipping the Rising Sun; Offering prayers to early morning sun,Boy
balayani,One Liked by Pupil,Boy
balayogi,Young Ascetic; One who lives a life of yogi,Boy
balayus,"Living on his Own Strength, Power, Might and Courage",Boy
balbahadur,"Mighty Brave; Powerful, Courageous and Strong",Boy
balbeer,Brave and Powerful; Courageous and Strong,Boy
balbhadra,The Elder Brother of Lord Krishna; Refers to Lord Balaram,Boy
balbhag,"Fortunate and Powerful, Brave, Strong, Courageous",Boy
balbinder,Powerful King; Courageous Ruler; Mighty Emperor,Boy
balbinderjit,"Victory of Power, Strength, Courage, Bravery and Might",Boy
balbir,Brave and Powerful; Courageous and Strong,Boy
balbo,Inarticulate; Mutterer; Faltering; Mumble,Boy
balchandra,Young Moon; Rising Moon; Crescent Moon,Boy
balda,Bestower of Strength and Courage; A variant spelling of Balada,Boy
baldasarre,Brave One; Mighty; Courageous; Fearless,Boy
baldeb,Godlike in Power; A name of Lord Balaram (Older Brother of Shri Krishna) who is splendid and powerful,Boy
baldeep,Means lamp of strength. It means to be creative and idealistic,Unisex
baldeesh,"Power, Might, Strength and Courage of the Lord",Boy
baldev,Another name of balram who had godlike strength and power.,Boy
baldeva,Older brother of Lord Shri Krishna; A name of Lord Balaram who is splendid and powerful,Boy
baldharam,"Mighty and Righteous, Strong and Courageous, Powerful and Intense",Boy
baldurai,Young conqueror; Young Ruler,Boy
balen,Little Boy; Young Boy; Infant Boy; Youthful Boy; Junior,Boy
balendra,One of many names of Lord Krishna for his infant form,Boy
balendranath,One of many names of Lord Krishna for his infant form,Boy
balendu,"It means a young, ascending moon. It symbolizes growth and beauty.",Boy
balesa,Master of an Army; Young chief Warrior,Boy
balesh,Master of an Army; Young chief Warrior,Boy
balgopal,One of many names of Lord Krishna for his infant form,Boy
balgovind,One of many names of Lord Krishna for his infant form,Boy
balhaar,"Surrounded By Strength, Power, Might, Courage",Boy
balhar,Sacrifice; Devotion; Worship; Follow,Boy
balhika,Powerful; Energetic; Strong; Courageous; Mighty,Boy
balihar,Sacrifice; Devotion; Worship; Follow,Boy
balik,Little Boy; Young Boy; Infant Boy; Youthful Boy; Junior,Boy
baliman,Powerful; Energetic; Strong; Courageous; Mighty,Boy
balindam,Powerful; Energetic; Strong; Courageous; Mighty,Boy
balinder,One of many names of Lord Krishna for his infant form,Boy
balinderjit,One of many names of Lord Krishna signifying his young age victory over Lord Indra,Girl
balindra,God of Power and Strength; King Bali; Prahlad's Grandson,Boy
balistha,Very Powerful; Mighty; Strong; Intense,Boy
balivaka,Praying at the Oblation; An Orator,Boy
baljeet,Mighty Victorious; Succeed with Power and Strength,Boy
baljinder,One Who Cares For Others; Lord of Strength,Girl
baljinderpal,"Preserver of Strength, Power, Might and Courage",Boy
baljit,Mighty Victorious; Succeed with Power and Strength,Boy
baljiwan,"Life With Strength, Power, Might and Courage",Boy
balkar,Full of Strength; Power; Mighty Creator,Boy
balki,Kind; Like a Baby; Young noble child,Boy
balkishan,One of many names of Lord Krishna for his young lad form,Boy
balkrishan,One of many names of Lord Krishna for his young lad form,Boy
ballari,Walking Quietly; One who wilks softly,Girl
ballava,Sanskrit - Cow Herd,Boy
balmeet,"Powerful Friend, Strong and Mighty Companion",Boy
balmohan,"One who is Attractive, Good looking, Appealing, Pleasing and Handsome",Boy
balmukund,One of many names of Lord Krishna for his infant form,Boy
balo,Send,Boy
balpati,One who is husband of Balika,Boy
balrah,One shines like young sun; Radiant like young sun,Boy
balraj,Older brother of Lord Shri Krishna; A name of Lord Balaram who is splendid and powerful,Boy
balram,Older brother of Lord Shri Krishna; A name of Lord Balaram who is splendid and powerful,Boy
balravi,Young Sun; Morning Sun; Risen Radiant Sun; Brightness of the Dawn,Boy
balsudan,Destroyer of large armies; Destroyer of demons,Boy
balu,Child; Young one; Young Offspring; Junior; Infant; Baby; Youthful,Boy
balula,"Powerful; Strong; Mighty, Courageous",Boy
balusamy,Young God; Child God,Boy
balvan,"Powerful And Mighty, Strong and Courageous; Brave and Intense",Boy
balvant,Powerful; Strong; Full of Might and Courage; Brave,Boy
balveer,Powerful; Strong; Full of Might and Courage; Brave Warrior,Boy
balvindar,Powerful; Strong; Full of Might and Courage; Brave,Boy
balvir,Powerful; Strong; Full of Might and Courage; Brave,Boy
balwan,Powerful; Strong; Full of Might and Courage; Brave,Boy
balwin,Powerful; Strong; Full of Might and Courage; Brave Protector,Boy
balwinderjit,"Victory of Strength, Power, Might and Courage",Boy
balwinderpal,"Preserver of Strength, Power, Might and Courage",Boy
balya,"Powerful; Strong; Mighty, Courageous, Child-like; The Crescent Moon`",Boy
bamadhaj,"An efficient, honest and creative person",Boy
bamdad,Early Morning; Red brightness of Dawn; Radiant Rising Sun,Boy
banaj,Lotus; Blooming Lotus; A name of Lord Krishna; Banbihari name of Lord Krishna is derived from Banaj meaning Lotus,Boy
banajita,One who Conquers with Arrows; Another Name for Vishnu,Boy
banarasi,One who Belongs to Benaras a Sacred place in India,Boy
banari,King of the forest; Represents Lion which is powerful and mighty,Boy
banavari,Dweller of the Forest; One of the many names of Lord Krishna,Boy
banbhatt,Name of an Ancient Poet,Boy
banbihari,A name of Lord Krishna; Banbihari name of Lord Krishna is derived from Banaj meaning Lotus,Boy
bandan,Its a Bond; Relationship; Connection,Boy
bandaru,It is a Surname for various cultures; It means Saffron in Telugu,Boy
bandev,One of many names of Lord Krishna,Boy
bandhavi,She who loves his family and friends,Girl
bandhul,One of many names of Lord Krishna signifying his pleasing and charming nature,Boy
bandhula,One of many names of Lord Krishna signifying his pleasing and charming nature,Boy
bandhupal,Protecting his Relatives; Defender and guardian of friends and family; One of many names of Lord Krishna,Boy
bandhupala,Protecting his Relatives; Defender and guardian of friends and family; One of many names of Lord Krishna,Boy
bandhur,"Wavy, Bowed, Delightful, Handsome, Mischievous, Charming, Naughty",Boy
bandi,Slave; Servant; One who is bounded to the Lord and his sayings,Boy
bandin,Praiser; One who is bounded to the Lord and his sayings,Boy
bandish,Binding; Attach Together; One who is bounded to the Lord and his sayings,Boy
bandlish,Binding; Attach Together; One who is bounded to the Lord and his sayings,Boy
bandula,Charming; Pleasing; Attractive; Appealing; Handsome,Boy
baneswar,One of the many names of Lord Shiva,Boy
bangar,Gold Life; One who is blessed with a golden life,Boy
banhiman,Has Plenty; Blessed with richness and wealth,Boy
banibrata,Controller of Speech,Boy
banikant,One who controles destiny,Boy
banjeet,Victory Of The Forest; One who conquers and succeeds,Boy
banjot,Light of Forest; Brightness and Radiance of forest,Boy
bankaru,Gold Life; One who is blessed with a golden life,Boy
bankimcandra,Half Moon; Charming but Shrewd; Crescent and Attractive Moon,Boy
banmeet,Friend of Forest; One who protects the forest,Boy
banning,Small and Fair; One who Reads the Banns; Blond Child; Small Fair One or Son of the Fair One,Boy
banpati,One who defends and protects the wild,Boy
banpaul,Fosterer of Forest,Boy
banshi,Instrument played by lord Krishna,Boy
banshidhar,Krishna,Boy
banshilal,One of the many names of Lord Krishna signifying his love for forest,Boy
bansi,Bansi is Flute,Boy
bansidhar,One of the many names of Lord Krishna signifying his love for forest,Boy
bansidhara,One of the many names of Lord Krishna signifying him as the bearer of the Flute,Boy
bansika,The King of the Forest; Lion which is mighty and powerful,Boy
bansila,One of the many names of Lord Krishna signifying his love for forest,Boy
bansilal,Lord Krishna,Boy
bansmeet,Friendly Descendant; One who is a friendly offspring,Boy
banspal,Fosterer of Descendant; One who is a fosterer offspring,Boy
banspreet,Love for Descendant; one who is a loving offspring,Boy
bansuri,Flute; Lord Krishna; Flash of Lightning,Boy
banti,Ball,Boy
banu,Rays of the sun,Boy
banuteja,One who is bright and radiant like the rays of the sun,Boy
banvari,One of the many names of Lord Krishna,Boy
banwari,Lord Krishna,Boy
banzan,Indestructible Mountain,Boy
bappa,Universal Father; Lord Ganesha is lovingly called as Bappa,Boy
bappaka,Good Cook; A Prince; A Royal descendant,Boy
bapu,"Father, Grandfather; Mahatma Gandhiji was lovingly referred as Bapu",Boy
bapudeva,Lord of the Body,Boy
baradwaj,One who has strength and Vigor; Descendant of Bharadvaja; Name of one of the great sages,Boy
baratam,A Dance Kind; Traditional dance form of Tamil Nadu,Boy
barath,Sanskrit - One of names of Agni; To be maintained; one who is engaged in search of Knowledge,Boy
barathan,Sanskrit - One of names of Agni; To be maintained; one who is engaged in search of Knowledge,Boy
barathi,Sanskrit - One of names of Agni; To be maintained; one who is engaged in search of Knowledge,Boy
bardalph,Ax Wolf,Boy
bardhan,Life Giving; Strong; Powerful; Blessing; Increasing; Growth,Boy
bardhana,Life Giving; Strong; Powerful; Blessing; Increasing; Growth,Boy
bardo,Variant of Bartholomew; Son of the Earth,Boy
baren,The Lust; Yearn; Desire; Wish,Boy
barendra,Indra; The Best; Good,Boy
barhana,Strong; Vigorous; Powerful; Mighty,Boy
barhaspati,Lord of Prayer or Devotion; Guru of the Gods; The Sun; The planet - Jupiter,Boy
barhin,Peacock; A Kind of Perfume; Self Conscious Person,Boy
barhis,That which is Plucked Up; Another Name for Agni,Boy
barhisa,Water,Boy
baridbaran,Colour of the Cloud,Boy
baridra,Lord of the rain,Boy
barinder,Lord of the Ocean; Lord of vastness,Unisex
barindra,"Ocean, sea",Boy
barjinder,One Who Cares For Others; Lord of Strength,Unisex
barket,Birth,Boy
barketram,Hindu name for Boys,Boy
barkha,Rain,Girl
barlow,Lives on the Bare Hill; Place Name; The Bare Hillside,Boy
barminder,Gods Given Beauty,Girl
barnali,Dispersion of seven colors,Girl
barnalipi,Script,Girl
barota,Speech,Boy
barret,Brave as a Bear; Variant of Barnett; Bear-strength,Boy
barron,Warrior; The Title of Nobility Used as a First Name; From the Land That was Burned,Boy
barsana,Radhaji's Birthplace,Girl
barsat,Welcome Rain; Showers of Blessings,Boy
barsati,Protecting from a Rain; A Shelter; A Cover for the Rain,Boy
barsha,Rain,Girl
bartleigh,From Bart's Meadow,Boy
baru,"Name of Lord Surya,Wealthy; Brave; Noble",Boy
baruch,Blessed; Sacred; Holy,Boy
basabi,Wife of lord Indra,Girl
basak,Garland of Flowers,Boy
basant,season of spring,Boy
basanta,Spring,Boy
basantdeep,Lamp of Spring; Light of Spring,Boy
basanti,spring,Girl
basantmeet,Friend of Spring; One who is like the companion of Spring,Boy
basantpaul,Preserver of Spring; One who is the protector of Spring,Boy
basantpreet,Love for Spring; One who adores Spring,Boy
basantroop,Embodiment of Spring; One who is personified with Spring,Boy
basava,Bull; Strong; Virile; Powerfull,Boy
basavaraj,Lord of Bulls; King of the Bulls; Extreme Strength,Boy
basavaraja,Lord of Bulls; King of the Bulls; Extreme Strength,Boy
basavesh,Founder of Shiva Philosophy,Boy
basaveshwara,Founder of Shiva Philosophy,Boy
basavraj,Lord of Bulls; King of the Bulls; Extreme Strength,Boy
basdev,fire,Boy
bashishta,A Sage; Learned; Knowledgeable; Wise,Boy
basho,Banana Plant,Boy
bashudha,Earth,Boy
bashvith,A Flower,Boy
basistha,A Sage; Learned; Knowledgeable; Wise,Boy
baskala,Preceptor; Teacher; Well Read; Wise; Learned,Boy
baskar,Sun; Very Knowledgeable and skilled person; Bright and Radiant,Boy
baskaran,Sun; Very Knowledgeable and skilled person; Bright and Radiant,Boy
basker,Sun; Very Knowledgeable and skilled person; Bright and Radiant,Boy
baspa,Tear; Steam; Vapour; Haze,Boy
basu,"Name of Lord Surya, Wealthy",Boy
basudev,"Fire, flames, blaze",Boy
basudha,The Earth; Producer of wealth; A variant of the name Vasudha,Girl
baswanth,Indian name for Boys,Boy
batarang,Weapon; A tool for protection,Boy
battu,Boy; Lad; Child;,Boy
batuka,Sanskrit - Young Brahmin; A variant of the name Batuk,Boy
bavishya,"Future, Upcoming",Girl
baviyan,One who is kind and generous and without any pride,Boy
bavyesh,One of the many names of Lord Shiva representing him as Lord of the world,Boy
bawa,"Father, Grandfather",Boy
bawara,Saint; Senior; Elderly,Boy
baxi,Saint; Senior; Elderly,Boy
bayaz,White; Bright; Intense; Dazzling,Boy
bayya,A Support; A Power; One who holds and bears,Boy
beant,"Endless, Boundless; Limitless; Eternal; Forever; Immortal",Boy
beanta,"Endless, Boundless; Limitless; Eternal; Forever; Immortal",Boy
beantpal,Foster of Immeasurable; One who is embodiment of immortality,Boy
bechint,Free from Worries; One who has no uncertainties,Boy
becki,Bound; Captivating; Abbreviation of Rebecca,Girl
beddhu,A birth,Boy
beemaraj,Formidable; Huge and Gigantic King; Roaring God;,Boy
beemraj,Formidable; Huge and Gigantic King; Roaring God;,Boy
beenu,Venus; Created with immense power,Boy
beerud,Indian name for Boys,Boy
beeshman,Strongest Man; Formidable; Huge and Gigantic King; Roaring God;,Boy
begona,Lady of Begona,Girl
behari,One of the many names of Lord Krishna,Boy
bekura,Voice; Sound; Melodious,Boy
bel,Sacred wood apple tree,Girl
beldene,Lives in the Most Beautiful Valley,Boy
belur,Temple; Shrine,Boy
bemra,Clever; Wise; Intelligent,Boy
benak,One of many names of Lord Ganesh signifying his facial features,Boy
benaka,Name of Lord Ganesh,Boy
benecroft,From the Bean Field,Boy
benisha,Flashing,Girl
bennet,Blessed; Right-hand Son; Similar to Benedict; Happy,Boy
benoy,Polite; Courteous; Respectful; Refined; Well-mannered; Gracious,Boy
benoybhusan,God of Knowledge; One who is very talented along with being well mannerd and respectful,Boy
benudhar,One who is in Control of Destiny; An Assamese name meaning someone who has power over fate,Boy
bercleah,Lives at the Birch Tree Meadow,Boy
beric,Grain Farm,Boy
bernardine,Bear-hard; Brave as a Bear; Female Version of Bernard; From an Old German Compound,Girl
bertilde,Shining Battle-maid; Woman Warrior; Bright Warrior Maiden,Girl
bertrand,Intelligent; Glorious Raven; Introduced to Britain During the Norman Conquest; Bright Shield; Wise Person,Boy
betsey,God is My Oath; Diminutive of Elizabeth; God's Promise,Girl
beverlee,From the Beaver Meadow; Beaver Stream,Girl
bha,Star; Historic; Religious; Short form for God,Boy
bhaagavat,Adoration; The Adorable One; A variant spelling for Bhagavat,Boy
bhaanish,Visionary; Having the Faculty of Seeing; One who has idealistic perspectives,Boy
bhaanodaya,Sun Rise; Rising Radiant Sun,Boy
bhaanu,The Sun; Name of Lord Surya or the Sun God,Boy
bhaanuaji,The Sun; Name of Lord Surya or the Sun God,Boy
bhaarat,Sanskrit - One of names of Agni; To be maintained; one who is engaged in search of Knowledge; Name of India,Boy
bhaarathy,Name of India; Sanskrit - One of names of Agni; To be maintained; one who is engaged in search of Knowledge;,Boy
bhaargav,One of the many names of Lord Shiva,Boy
bhaaskar,The Sun; Radiant and Bright Sun; Talented and Knowledgeable,Boy
bhaasvan,Lustrous; Full of Brightness; Radiant and Shining,Boy
bhaaswar,Glorious; Luminous; Full of Brightness; Radiant and Shining,Boy
bhaavan,God; Ishwar,Boy
bhaavitha,One of the many names of Goddess Durga,Boy
bhabananda,One who gives happiness and joy,Boy
bhabani,One of the many names of Goddess Durga,Girl
bhabaniprasad,Blessings of God; God's Gift,Boy
bhabendra,God; Ishwar,Boy
bhabesa,Lord of Existence; God of Life,Boy
bhabha,Singh,Boy
bhabra,Name of an ancient merchant community who follow Jainism; Merchant people from Punjab region,Boy
bhadanta,Term of Respect Applied to a Buddhist Mendicant,Boy
bhadra,"Auspicious, promising",Boy
bhadrabahu,Name of a famous Jain Acharya from medieval India. It means a pious and blessed man.,Boy
bhadrak,"Handsome, attractive",Boy
bhadraka,Good; Virtuous; Auspicious; Appealing; Beautiful,Boy
bhadrakali,"Bhadrakali is also known as the gentle Kali, who came into being by Devi's wrath, when Daksha insulted Shiva. She is the consort of Virabhadra.",Girl
bhadrakapil,Hindu Lord Shiva,Boy
